,Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
0,1/1/2015,27.3,23.9,32.5,0,0,25.461
1,1/2/2015,27.02,24.5,33.5,0,0,28.972
2,1/3/2015,24.82,22.4,29.9,0,1,30.814
3,1/4/2015,23.98,21.5,28.6,1.2,1,29.799
4,1/5/2015,23.82,21,28.3,0,0,28.9
5,1/6/2015,23.78,20.1,30.5,12.2,0,28.218
6,1/7/2015,24,19.5,33.7,0,0,29.732
7,1/8/2015,24.9,19.5,32.8,48.6,0,28.397
8,1/9/2015,28.2,21.9,34,4.4,0,24.886
9,1/10/2015,26.76,22.1,34.2,0,1,37.937
10,1/11/2015,27.62,22.2,34.8,3.4,1,36.254
11,1/12/2015,25.96,21.4,35.4,0,0,25.743
12,1/13/2015,25.52,21.2,34.8,0.8,0,26.99
13,1/14/2015,25.96,21.3,34,1.6,0,31.825
14,1/15/2015,25.86,21.5,32.8,3,0,25.724
15,1/16/2015,26.5,22.3,32.7,2,0,29.938
16,1/17/2015,28.86,22,35.8,0,1,37.69
17,1/18/2015,28.26,23.4,35.6,0,1,30.524
18,1/19/2015,28.22,22.7,36.5,3.7,0,29.265
19,1/20/2015,27.68,23.3,35.6,0.6,0,35.127
20,1/21/2015,25.32,22.7,30.9,0,0,29.13
21,1/22/2015,21.74,19.2,26.1,31,0,25.795
22,1/23/2015,21.04,18.5,26.1,3.6,0,21.784
23,1/24/2015,23.12,19,29.4,13,1,28.348
24,1/25/2015,24.4,18.1,30,0,1,31.088
25,1/26/2015,22.4,18.9,28.7,20.8,0,21.52
26,1/27/2015,23.6,20.5,28.7,1.2,0,29.972
27,1/28/2015,25.68,20.1,29.9,4.9,0,22.603
28,1/29/2015,25,21.5,29.2,0,0,22.696
29,1/30/2015,22.8,20.9,26.9,0,0,26.845
30,1/31/2015,21.64,18.5,24.3,0.2,1,27.03
31,2/1/2015,24.16,20.6,28,0,1,32.057
32,2/2/2015,22.48,20.7,26.5,4.5,0,24.097
33,2/3/2015,23.16,18,31.1,1.6,0,31.655
34,2/4/2015,22.12,19.9,23.7,3.2,0,24.738
35,2/5/2015,20.28,19.1,22.9,5.6,0,19.95
36,2/6/2015,21.06,17.9,25.4,18.4,0,22.821
37,2/7/2015,21.86,17.3,28.7,16.7,1,28.893
38,2/8/2015,22.76,17.1,29.5,10.4,1,29.926
39,2/9/2015,24,19.3,30.7,0,0,24.062
40,2/10/2015,23.92,20.1,29,32.2,0,21.137
41,2/11/2015,25.38,19.9,30.4,2.2,0,26.805
42,2/12/2015,27.66,23.1,32.7,0,0,26.389
43,2/13/2015,25.54,22.5,32.1,0,0,24.219
44,2/14/2015,24.32,21.1,31.6,0,1,30.231
45,2/15/2015,22.9,20,27.6,17.4,1,24.968
46,2/16/2015,21.6,18.8,27.3,22.7,0,25.343
47,2/17/2015,22.76,19.7,28,85.3,0,17.399
48,2/18/2015,22.22,19.9,26.4,13.4,0,21.392
49,2/19/2015,23.92,19.9,28.5,2.4,0,22.922
50,2/20/2015,24.72,21.7,28.2,0,0,24.567
51,2/21/2015,25.2,21.4,31.1,0,1,30.943
52,2/22/2015,24.44,20.4,30.8,0,1,30.825
53,2/23/2015,25.4,20.7,31.4,0,0,25.692
54,2/24/2015,24.3,20.5,31.9,0,0,26.959
55,2/25/2015,22.24,19.3,29.3,2,0,25.366
56,2/26/2015,24.1,19.2,30.3,34.4,0,22.784
57,2/27/2015,24.64,20.4,31.4,0.6,0,26.241
58,2/28/2015,22.4,19.7,27.7,0,1,26.467
59,3/1/2015,21.26,18.2,26.3,3,1,27.475
60,3/2/2015,22.16,17.2,29.2,0,0,28.749
61,3/3/2015,23.16,19.5,29.5,0,0,24.146
62,3/4/2015,23.68,18.9,30.5,0,0,22.988
63,3/5/2015,24.42,19.7,31.6,0,0,30.3
64,3/6/2015,22.6,19.4,28.5,0,0,22.654
65,3/7/2015,21.92,19.4,26.6,38.2,1,29.09
66,3/8/2015,22.2,19.7,24.4,69.2,1,24.619
67,3/9/2015,21.36,19.7,23.3,77,0,20.016
68,3/10/2015,23.12,21.2,26.9,9.7,0,23.042
69,3/11/2015,22.88,20.1,28.1,9.5,0,22.933
70,3/12/2015,22.26,19.2,26.9,1.2,0,22.409
71,3/13/2015,22.34,20,26.6,0,0,21.281
72,3/14/2015,22.88,19.9,27.9,12.2,1,28.844
73,3/15/2015,22.08,19.1,26.8,0.3,1,32.872
74,3/16/2015,21.92,18.6,29.4,22.4,0,20.903
75,3/17/2015,21.92,18.6,25.6,24.2,0,26.275
76,3/18/2015,21.24,19.7,24.1,0,0,20.167
77,3/19/2015,21.78,19.2,27.1,3.2,0,23.628
78,3/20/2015,21.64,18.9,28.2,7.4,0,24.213
79,3/21/2015,20.88,18.5,25.3,14.7,1,28.631
80,3/22/2015,19.7,18.1,22.8,1.7,1,25.855
81,3/23/2015,19.88,17.1,23.3,19.2,0,21.406
82,3/24/2015,20.98,17.4,26.3,0,0,21.617
83,3/25/2015,21.56,17.1,27.9,0,0,22.401
84,3/26/2015,22.98,18.3,29.8,0,0,27.989
85,3/27/2015,23.32,18,30.8,0,0,24.974
86,3/28/2015,23.28,19.1,29.5,0,1,29.76
87,3/29/2015,22.14,20.5,26.6,0,1,26.116
88,3/30/2015,22.5,19,25.9,18.6,0,25.85
89,3/31/2015,23.14,20.1,29,1,0,24.925
90,4/1/2015,22.52,19.2,27.5,0,0,21.979
91,4/2/2015,20.92,18.2,26.2,0,0,22.116
92,4/3/2015,21.02,16.3,27.2,0,0,24.867
93,4/4/2015,22.36,17.9,29.4,0,1,33.45
94,4/5/2015,22.82,20.1,26.4,0,1,32.713
95,4/6/2015,21.36,18.5,27.7,0,0,22.356
96,4/7/2015,17.38,16.1,20,7.1,0,21.004
97,4/8/2015,18.68,14.7,24.3,0.4,0,23.362
98,4/9/2015,19.4,15.9,25.6,0,0,20.298
99,4/10/2015,20.46,17,25.5,0,0,24.862
100,4/11/2015,21.74,17.2,28.4,0,1,30.505
101,4/12/2015,19.92,16.8,25.7,0,1,25.07
102,4/13/2015,20.88,18.1,25.7,0,0,22.62
103,4/14/2015,21.7,18.4,28.8,0,0,22.001
104,4/15/2015,21.94,18.5,27.4,0,0,23.469
105,4/16/2015,21.26,18.6,26.7,25.4,0,21.735
106,4/17/2015,21.42,18.4,27,37.2,0,21.593
107,4/18/2015,23.36,18.2,29.3,0,1,33.822
108,4/19/2015,22.5,20.3,27.2,0,1,28.028
109,4/20/2015,24,19.3,29.2,20.2,0,24.304
110,4/21/2015,22.52,19.3,29,0,0,31.108
111,4/22/2015,20.06,18.9,21.6,2.4,0,19.113
112,4/23/2015,21.2,18.6,24.9,14.6,0,23.198
113,4/24/2015,22.52,19.3,28.1,0,0,24.388
114,4/25/2015,19.18,17.4,23.3,0,1,27.42
115,4/26/2015,19.04,16.1,23.7,0.8,1,30.479
116,4/27/2015,19.82,17.5,24.9,0,0,21.838
117,4/28/2015,20.26,17.2,26.9,0,0,20.812
118,4/29/2015,18.66,16.8,22.7,0,0,19.761
119,4/30/2015,16.22,14.7,18.7,0,0,20.452
120,5/1/2015,17.34,13.4,22,0,0,17.939
121,5/2/2015,19.26,14.7,26.4,0,1,25.272
122,5/3/2015,21.04,15.8,26.3,0,1,28.049
123,5/4/2015,19.96,17.9,22.3,1,0,25.317
124,5/5/2015,18.14,16.6,20.8,9.9,0,21.826
125,5/6/2015,17.76,15.9,20.4,0,0,20.68
126,5/7/2015,17.8,15.8,21.7,0,0,19.143
127,5/8/2015,16.14,13.9,19.2,0,0,18.146
128,5/9/2015,18.04,13.7,26.1,0,1,25.489
129,5/10/2015,16.94,13.7,21,0,1,23.537
130,5/11/2015,17.86,15.7,20.6,22.2,0,16.956
131,5/12/2015,17.12,14.2,21.7,0,0,19.052
132,5/13/2015,16.34,14.7,18.9,2.8,0,17.287
133,5/14/2015,16.72,14.2,21,0,0,20.3
134,5/15/2015,16.84,13.6,21.5,0,0,20.538
135,5/16/2015,17.18,13.2,22.3,0,1,23.702
136,5/17/2015,18.26,15.4,22.4,0,1,28.411
137,5/18/2015,18.6,16.6,21.3,0,0,21.073
138,5/19/2015,18.64,17,22.9,0,0,24.215
139,5/20/2015,18.74,15.9,23.3,0.2,0,19.525
140,5/21/2015,19.46,16.3,25,0,0,20.786
141,5/22/2015,20.26,16.3,25.4,0,0,20.429
142,5/23/2015,19.94,15.9,24.4,0,1,27.25
143,5/24/2015,21.8,17.9,26.3,0,1,31.387
144,5/25/2015,22.06,17.5,27.4,0,0,26.075
145,5/26/2015,21.28,19.7,24.8,0,0,22.162
146,5/27/2015,22.94,19.7,27.1,0,0,24.258
147,5/28/2015,18.56,16.8,23.2,1.8,0,24.683
148,5/29/2015,17.68,15.3,21.9,7.2,0,21.245
149,5/30/2015,17.52,13.1,22.9,0,1,25.937
150,5/31/2015,16.28,13.6,18.4,5.6,1,26.081
151,6/1/2015,16.28,15.2,18,2.2,0,16.228
152,6/2/2015,16.04,15,17.5,0.5,0,20.106
153,6/3/2015,17.94,15,21.7,0,0,21.055
154,6/4/2015,18.36,14.6,24.1,0,0,22.772
155,6/5/2015,18.32,14.1,25.3,0,0,25.142
156,6/6/2015,19.66,13.8,26.1,0,1,31.129
157,6/7/2015,20.62,15.9,26.2,0,1,30.498
158,6/8/2015,20.86,15.2,26.4,0,0,26.15
159,6/9/2015,20.32,15.2,26,0,0,21.327
160,6/10/2015,20.54,15.5,26.2,0,0,22.008
161,6/11/2015,22.72,17.5,26.9,0,0,24.615
162,6/12/2015,18.8,16.9,23.5,0,0,22.375
163,6/13/2015,21.1,15.5,27.4,0,1,29.607
